Distance_(pixels),Gray_Value
0,194.438
1,190.193
2,184.741
3,183.175
4,186.008
5,193.772
6,215.992
7,246.198
8,246.367
9,242.394
10,257.045
11,281.319
12,280.752
13,303.526
14,345.605
15,389.107
16,358.602
17,334.101
18,335.624
19,355.933
20,388.798
21,382.915
22,403.110
23,413.480
24,394.820
25,417.177
26,428.567
27,442.476
28,457.714
29,494.938
30,496.088
31,545.297
32,578.940
33,553.354
34,497.125
35,476.686
36,489.554
37,515.523
38,559.577
39,648.961
40,642.386
41,613.303
42,551.955
43,498.967
44,515.239
45,524.251
46,480.150
47,463.292
48,513.216
49,659.500
50,775.355
51,731.050
52,599.700
53,537.888
54,510.953
55,540.353
56,631.211
57,934.710
58,1262.792
59,1059.477
60,739.594
61,553.993
62,520.656
63,512.196
64,500.492
65,482.842
66,474.198
67,485.727
68,575.833
69,868.309
70,1076.359
71,1054.838
72,775.694
73,628.771
74,617.002
75,602.712
76,537.694
77,486.914
78,456.889
79,449.246
80,469.225
81,494.184
82,654.564
83,715.479
84,609.537
85,474.096
86,499.998
87,515.951
88,502.065
89,457.679
90,461.782
91,464.502
92,534.611
93,579.828
94,542.314
95,497.435
96,487.839
97,408.488
98,358.028
99,310.489
100,274.575
101,303.014
102,306.221
103,259.877
104,227.736
105,210.594
106,187.512
107,186.781
108,182.490
109,179.542
110,172.737
111,157.438
112,162.025
113,170.982
114,163.541
115,155.569
116,147.987
117,143.604
118,139.962
119,139.313
120,144.890
121,146.825
122,139.697
123,140.535
124,134.000
